Medicine_ID,Medicine_Name,Generic_Name,Manufacturer,Medicine_Category,Dosage_Form,Strength,Pack_Size,Batch_Number,Manufacturing_Date,Expiry_Date,Days_to_Expiry,Initial_Quantity,Current_Stock,Quantity_Sold,Quantity_Wasted,Unit_Price,Stock_Value,Potential_Loss,Supplier,Storage_Location,Expiry_Status,Stock_Status
MED-0001,Januvia,Sitagliptin,MSD,Antihistamine,Tablet,50mg,28s,BN46048,2025-07-13,2026-09-03,17,792,399,393,0,76.1,30363.9,30363.9,PharmaLink Distribution,Shelf C-1,Critical (<30 Days),Optimal
MED-0002,Crestor,Rosuvastatin,AstraZeneca,Cardiovascular,Tablet,5mg,30s,BN22280,2024-12-16,2026-10-20,64,127,55,72,0,18.9,1039.5,1039.5,OmniPharma Ltd.,Shelf B-2,Near Expiry (31-90 Days),Optimal
MED-0003,Ventolin,Albuterol,GlaxoSmithKline,Respiratory,Inhaler,100mcg,200 doses,BN10851,2025-05-06,2027-04-28,254,532,179,353,0,25.42,4550.18,0,Medix Wholesale,Cold Storage 2,Safe,Optimal
MED-0004,Zyrtec,Cetirizine,Johnson & Johnson,Antihistamine,Tablet,10mg,30s,BN22676,2025-12-29,2027-11-03,443,370,27,343,0,62.7,1692.9,0,OmniPharma Ltd.,Shelf A-1,Safe,Low Stock
MED-0005,Singulair,Montelukast,Organon,Respiratory,Tablet,4mg,28s,BN92397,2026-01-30,2027-11-21,461,296,185,111,0,8.24,1524.4,0,Medix Wholesale,Shelf B-1,Safe,Overstocked
MED-0006,Glucophage,Metformin,Merck,Antidiabetic,Tablet,500mg,60s,BN59823,2026-09-02,2027-11-24,464,479,186,293,0,19.78,3679.08,0,Apex Global Health,Narcotics Safe,Safe,Optimal
MED-0007,Imodium,Loperamide,Johnson & Johnson,Gastrointestinal,Capsule,2mg,6s,BN80010,2025-09-08,2027-05-02,258,488,143,345,0,84.14,12032.02,0,OmniPharma Ltd.,Shelf A-2,Safe,Optimal
MED-0008,Imodium,Loperamide,Johnson & Johnson,Gastrointestinal,Capsule,2mg,6s,BN40021,2026-03-14,2027-10-05,414,374,38,336,0,19.91,756.58,0,OmniPharma Ltd.,Narcotics Safe,Safe,Low Stock
MED-0009,Plavix,Clopidogrel,Sanofi,Cardiovascular,Tablet,75mg,28s,BN61856,2026-12-17,2028-02-28,560,371,76,295,0,22.85,1736.6,0,OmniPharma Ltd.,Shelf C-1,Safe,Optimal
MED-0010,Augmentin,Amoxicillin + Clavulanate,GlaxoSmithKline,Antibiotic,Tablet,1000mg,20s,BN57447,2024-12-17,2026-09-03,17,605,66,539,0,64.85,4280.1,4280.1,PharmaLink Distribution,Shelf A-2,Critical (<30 Days),Low Stock
MED-0011,Januvia,Sitagliptin,MSD,Antihistamine,Tablet,50mg,28s,BN88172,2024-07-25,2026-05-26,-83,579,145,434,145,23.24,3369.8,3369.8,OmniPharma Ltd.,Shelf A-1,Expired,Optimal
MED-0012,Imodium,Loperamide,Johnson & Johnson,Gastrointestinal,Capsule,2mg,12s,BN94012,2026-02-02,2027-09-12,391,261,121,140,0,2.77,335.17,0,Apex Global Health,Shelf C-1,Safe,Optimal
MED-0013,Nurofen,Ibuprofen,Reckitt Benckiser,Analgesic / NSAID,Tablet,200mg,48s,BN93748,2026-03-21,2027-06-07,294,482,87,395,0,47,4089,0,OmniPharma Ltd.,Shelf A-1,Safe,Optimal
MED-0014,Diflucan,Fluconazole,Pfizer,Antifungal,Capsule,150mg,4s,BN12552,2025-04-28,2026-10-02,46,345,34,311,0,22.37,760.58,760.58,OmniPharma Ltd.,Shelf A-1,Near Expiry (31-90 Days),Low Stock
MED-0015,Glucophage,Metformin,Merck,Antidiabetic,Tablet,1000mg,100s,BN19071,2027-03-12,2028-05-14,636,231,173,58,0,41.71,7215.83,0,OmniPharma Ltd.,Shelf A-2,Safe,Overstocked
MED-0016,Augmentin,Amoxicillin + Clavulanate,GlaxoSmithKline,Antibiotic,Tablet,1000mg,14s,BN80686,2025-06-09,2027-06-09,296,419,209,210,0,84.6,17681.4,0,Apex Global Health,Shelf B-2,Safe,Optimal
MED-0017,Norvasc,Amlodipine,Viatris,Cardiovascular,Tablet,10mg,30s,BN42493,2025-09-19,2026-09-29,43,702,303,399,0,21.48,6508.44,6508.44,Medix Wholesale,Shelf A-1,Near Expiry (31-90 Days),Optimal
MED-0018,Glucophage,Metformin,Merck,Antidiabetic,Tablet,1000mg,60s,BN40007,2024-09-10,2026-02-26,-172,172,42,130,42,22.14,929.88,929.88,BioCare Logistics,Shelf A-2,Expired,Optimal
MED-0019,Cipro,Ciprofloxacin,Bayer,Antibiotic,Tablet,250mg,14s,BN41850,2026-10-01,2028-01-06,507,196,29,167,0,56.87,1649.23,0,Apex Global Health,Shelf B-2,Safe,Low Stock
MED-0020,Crestor,Rosuvastatin,AstraZeneca,Cardiovascular,Tablet,10mg,30s,BN98259,2026-01-24,2027-02-24,191,512,377,135,0,30.49,11494.73,0,PharmaLink Distribution,Shelf A-2,Safe,Overstocked
MED-0021,Nexium,Esomeprazole,AstraZeneca,Gastrointestinal,Capsule,20mg,28s,BN28373,2026-01-04,2027-08-28,376,355,43,312,0,39.06,1679.58,0,OmniPharma Ltd.,Shelf A-1,Safe,Low Stock
MED-0022,Amoxil,Amoxicillin,GlaxoSmithKline,Antibiotic,Capsule,250mg,20s,BN40982,2025-02-14,2026-10-18,62,318,122,196,0,76.95,9387.9,9387.9,Medix Wholesale,Shelf B-2,Near Expiry (31-90 Days),Optimal
MED-0023,Lipitor,Atorvastatin,Pfizer,Cardiovascular,Tablet,20mg,90s,BN69638,2026-07-05,2028-06-07,660,835,503,332,0,15.27,7680.81,0,Apex Global Health,Shelf A-2,Safe,Overstocked
MED-0024,Amoxil,Amoxicillin,GlaxoSmithKline,Antibiotic,Capsule,250mg,100s,BN17492,2024-10-06,2026-06-20,-58,973,281,692,281,15.49,4352.69,4352.69,OmniPharma Ltd.,Shelf A-1,Expired,Optimal
MED-0025,Nurofen,Ibuprofen,Reckitt Benckiser,Analgesic / NSAID,Tablet,200mg,24s,BN98501,2026-11-03,2028-01-03,504,683,257,426,0,50.26,12916.82,0,PharmaLink Distribution,Shelf C-1,Safe,Optimal
MED-0026,Glucophage,Metformin,Merck,Antidiabetic,Tablet,850mg,100s,BN44179,2025-05-27,2026-09-26,40,371,121,250,0,13.3,1609.3,1609.3,Apex Global Health,Shelf B-2,Near Expiry (31-90 Days),Optimal
MED-0027,Plavix,Clopidogrel,Sanofi,Cardiovascular,Tablet,75mg,28s,BN70068,2027-04-25,2028-06-14,667,175,59,116,0,44.24,2610.16,0,Medix Wholesale,Shelf B-1,Safe,Optimal
MED-0028,Glucophage,Metformin,Merck,Antidiabetic,Tablet,500mg,100s,BN47353,2024-10-30,2026-10-25,69,409,176,233,0,83.67,14725.92,14725.92,OmniPharma Ltd.,Shelf A-1,Near Expiry (31-90 Days),Optimal
MED-0029,Imodium,Loperamide,Johnson & Johnson,Gastrointestinal,Capsule,2mg,6s,BN27601,2025-05-26,2027-03-05,200,259,74,185,0,25.74,1904.76,0,Medix Wholesale,Narcotics Safe,Safe,Optimal
MED-0030,Plavix,Clopidogrel,Sanofi,Cardiovascular,Tablet,75mg,28s,BN76244,2025-11-21,2027-01-07,143,749,438,311,0,70.92,31062.96,0,PharmaLink Distribution,Shelf A-1,Safe,Optimal
MED-0031,Plavix,Clopidogrel,Sanofi,Cardiovascular,Tablet,75mg,28s,BN31178,2026-06-07,2028-06-02,655,537,292,245,0,3.3,963.6,0,PharmaLink Distribution,Narcotics Safe,Safe,Optimal
